Date,Open,High,Low,Close,Adj Close,Volume
2016-02-29,7.403020,7.429320,6.863910,7.279420,7.152367,31244673
2016-03-01,7.208420,7.542410,7.205790,7.529260,7.397847,25834233
2016-03-02,7.529260,7.810650,7.403020,7.805390,7.669158,25127302
2016-03-03,7.679160,7.976330,7.679160,7.894810,7.757017,22881732
2016-03-04,7.894810,8.068380,7.789610,7.976330,7.837114,52231429
2016-03-07,7.918480,8.044710,7.718610,7.923730,7.785432,29098701
2016-03-08,7.852730,7.879030,7.587110,7.771200,7.635565,17307986
2016-03-09,7.666010,7.758050,7.576590,7.589740,7.457271,8935639
2016-03-10,7.592370,7.758050,7.537150,7.708090,7.573556,13947797
2016-03-11,7.621300,7.694940,7.508220,7.573970,7.441777,9594425
2016-03-14,7.621300,8.021040,7.621300,7.923730,7.785432,15955053
2016-03-15,7.886920,8.036820,7.860620,8.002630,7.862955,28646915
2016-03-16,7.968440,8.034190,7.844840,7.850100,7.713088,11622036
2016-03-17,7.889550,8.157790,7.889550,8.152530,8.010239,32358094
2016-03-18,8.157790,8.289280,8.113080,8.228800,8.085177,24596435
2016-03-21,8.262990,8.447070,8.073640,8.194610,8.051584,32044426
2016-03-22,8.126230,8.189350,8.042080,8.099930,7.958557,15691342
2016-03-23,8.097300,8.189350,7.989480,8.099930,7.958557,15766438
2016-03-24,8.047340,8.184090,7.994740,8.044710,7.904301,15969198
2016-03-25,8.023670,8.084160,7.873770,7.942140,7.803521,17245241
2016-03-28,7.955290,8.028930,7.718610,7.752790,7.617476,20749591
2016-03-29,7.718610,7.771200,7.560820,7.647600,7.514122,19396011
2016-03-30,7.681790,7.963180,7.681790,7.931620,7.793185,25645115
2016-03-31,7.936880,7.936880,7.500330,7.692310,7.558051,76713417
2016-04-01,7.600260,7.626560,7.339910,7.421430,7.291900,34210231
2016-04-05,7.487180,7.602890,7.429320,7.579220,7.446935,38137893
2016-04-06,7.568710,7.631820,7.526630,7.618670,7.485696,32046776
2016-04-07,7.639710,7.737020,7.560820,7.592370,7.459856,35048001
2016-04-08,7.547670,7.547670,7.297830,7.358320,7.229890,34031578
2016-04-11,7.416170,7.605520,7.363580,7.573970,7.441777,29835660
2016-04-12,7.573970,7.573970,7.416170,7.474030,7.343581,17522375
2016-04-13,7.497700,7.618670,7.497700,7.558190,7.426272,40743636
2016-04-14,7.573970,7.655490,7.513480,7.579220,7.446935,22347823
2016-04-15,7.584480,7.652860,7.521370,7.545040,7.413352,14096661
2016-04-18,7.568710,7.581850,7.318870,7.360950,7.232475,19294762
2016-04-19,7.395140,7.431950,7.174230,7.266270,7.139448,28002315
2016-04-20,7.297830,7.310980,6.837610,7.074290,6.950818,31046555
2016-04-21,7.003290,7.203160,6.969100,7.034850,6.912067,22472671
2016-04-22,7.071660,7.363580,7.071660,7.337280,7.209218,29865069
2016-04-25,7.310980,7.489810,7.276790,7.345170,7.216970,22407694
2016-04-26,7.342540,7.421430,7.205790,7.342540,7.214386,14681014
2016-04-27,7.295200,7.395140,7.239970,7.255750,7.129111,14299753
2016-04-28,7.255750,7.363580,7.100590,7.342540,7.214386,15000249
2016-04-29,7.329390,7.500330,7.292570,7.421430,7.291900,30201042
2016-05-03,7.426690,7.563450,7.345170,7.542410,7.410767,26310039
2016-05-04,7.513480,7.534520,7.410910,7.429320,7.299652,17615977
2016-05-05,7.431950,7.466140,7.395140,7.439840,7.309988,8512618
2016-05-06,7.468770,7.510850,7.145300,7.145300,7.020588,19192053
2016-05-09,7.145300,7.305720,6.969100,7.245230,7.118774,18090773
2016-05-10,7.211050,7.326760,7.208420,7.239970,7.113606,13980525
2016-05-11,7.289940,7.463510,7.289940,7.379360,7.250563,28456771
2016-05-12,7.316240,7.439840,7.305720,7.350430,7.222138,11032288
2016-05-13,7.389880,7.389880,7.158450,7.234710,7.108438,28443630
2016-05-16,7.116370,7.242600,7.008550,7.184750,7.059350,21735796
2016-05-17,7.216310,7.387250,7.161080,7.337280,7.209218,21286641
2016-05-18,7.261010,7.360950,7.069030,7.182120,7.056766,24219999
2016-05-19,7.134780,7.284680,7.092700,7.168970,7.043846,17977253
2016-05-20,7.192640,7.192640,7.097960,7.140040,7.015420,10816123
2016-05-23,7.187380,7.350430,7.134780,7.305720,7.178209,19010502
2016-05-24,7.284680,7.310980,7.179490,7.258380,7.131695,8736939
2016-05-25,7.292570,7.379360,7.205790,7.255750,7.129111,10883427
2016-05-26,7.195270,7.287310,7.126890,7.253120,7.126526,7666592
2016-05-27,7.245230,7.268900,7.166340,7.218940,7.092943,10621713
2016-05-30,7.208420,7.318870,7.100590,7.271530,7.144616,9868913
2016-05-31,7.253120,7.516110,7.253120,7.497700,7.366838,23492083
2016-06-01,7.495070,7.595000,7.471400,7.495070,7.364254,22350873
2016-06-02,7.537150,7.679160,7.495070,7.547670,7.415936,22777403
2016-06-03,7.573970,7.936880,7.573970,7.900070,7.762185,60363942
2016-06-06,7.889550,8.042080,7.718610,7.744910,7.609733,28850455
2016-06-07,7.876400,7.876400,7.684420,7.850100,7.713088,18824727
2016-06-08,7.836950,7.836950,7.626560,7.731760,7.596812,19942985
2016-06-13,7.558190,7.684420,7.416170,7.416170,7.343720,13096592
2016-06-14,7.337280,7.443790,7.218940,7.380670,7.308567,18637331
2016-06-15,7.286000,7.637080,7.270220,7.617360,7.542945,20063314
2016-06-16,7.566080,7.593690,7.368840,7.463510,7.390597,24701391
2016-06-17,7.435900,7.581850,7.435900,7.530570,7.457003,23263445
2016-06-20,7.554240,7.656810,7.416170,7.542410,7.468726,17354337
2016-06-21,7.625250,7.676530,7.416170,7.554240,7.480442,17537129
2016-06-22,7.502960,7.554240,7.372780,7.455620,7.382784,16802141
2016-06-23,7.495070,7.542410,7.372780,7.459570,7.386695,21223655
2016-06-24,7.447730,7.534520,7.104540,7.392510,7.320291,16549313
2016-06-27,7.289940,7.826430,7.218940,7.751480,7.675755,46698243
2016-06-28,7.617360,7.881660,7.573970,7.826430,7.749972,30101498
2016-06-29,7.850100,7.976330,7.495070,7.731760,7.656226,24755941
2016-06-30,7.696250,7.865880,7.680470,7.751480,7.675755,12548209
2016-07-01,7.731760,7.731760,7.495070,7.554240,7.480442,25297100
2016-07-04,7.554240,7.723870,7.554240,7.641030,7.566383,17153109
2016-07-05,7.692310,7.850100,7.648920,7.806710,7.730444,24397581
2016-07-06,7.727810,7.854040,7.652860,7.771200,7.695282,20501938
2016-07-07,7.731760,7.857990,7.660750,7.767260,7.691380,16727059
2016-07-08,7.771200,7.976330,7.747540,7.881660,7.804662,32794656
2016-07-11,7.499010,7.546350,7.092700,7.092700,7.023410,154318443
2016-07-12,7.005920,7.136100,6.682450,6.934910,6.867161,71237282
2016-07-13,6.934910,7.116370,6.871800,7.033530,6.964818,49966841
2016-07-14,7.053250,7.072980,6.907300,7.037480,6.968729,31577083
